id,name,address,lat,lon,postcode_district,postcode_area,operator,phone
b709be0e-50ef-46f0-ad1c-f958d54b0935,Shortlands Golf Club,"Meadow Road

Bromley

BR2 0DX",51.4079,0.00187726,BR2,BR,Independent,(020) 8460 0278
7f7e0245-29cf-4b6d-8bd9-dbc59a8fbb15,Royal Blackheath Golf Club,"Court Road

Eltham

SE9 5AF",51.4455,0.055415,SE9,SE,Independent,(020) 8850 1795
b54c8c4c-958e-4e93-9c7c-f86fc9548d44,Croham Arms,"1 Croham Road

South Croydon

CR2 7PB",51.3623,-0.095774,CR2,CR,Independent,(020) 8688 7356
5b79398e-8173-4a5e-bc4d-8a22fe7a8cef,Archer Street,"126-128 Notting Hill Gate

Notting Hill

W11 3QG",51.5089,-0.198774,W11,W,Independent,(020) 8075 5233
9146ef99-60cb-4c06-85c5-d885dd97bc5c,Blacksmith's Arms,"Cudham Lane South

Cudham

TN14 7QB",51.3188,0.0727091,TN14,TN,Independent,(01959) 572678
f478c242-7e20-4a2c-a0a8-57dcd40e2a97,Cheam Social Club,"111/123 Church Hill Road

Cheam

SM3 8LJ",51.3675,-0.217513,SM3,SM,Independent,(020) 8644 7267
1cd6360d-8f7b-4d9d-8acb-4aa1b706e490,Chalk,"25-27 Tryon Street

Chelsea

SW3 3LG",51.4907,-0.163161,SW3,SW,Independent,(020) 3958 4444
cde44fe5-13bc-41af-8ad2-4608586f1bdf,Epsom Club,"41-43 Church Street

Epsom

KT17 4PW",51.3325,-0.261439,KT17,KT,Independent,(01372) 815667
0c35de19-2d54-4c2f-9942-93f38ced4a49,Leyton Orient Supporters Club,"Breyer Group Stadium, Oliver Road,

Leyton

E10 5NF",51.5599,-0.013381,E10,E,Independent,(020) 8988 8288
259b7735-bbf3-443f-9738-3faff1dc2a90,California,"267 Brighton Road

Belmont

SM2 5SU",51.3442,-0.197312,SM2,SM,Independent,(020) 8642 9799
d8dba1a8-6464-4eb3-a303-880f7ff742bf,West Ealing Bowls & Social Club,"Mervyn Road

West Ealing

W13 9UW",51.5008,-0.3234,W13,W,Independent,(020) 8567 7658
e1a73c7f-e9a1-42c8-907c-052d489ae43d,Royal Wimbledon Golf Club,"29 Camp Road

Wimbledon

SW19 4UW",51.4258,-0.235045,SW19,SW,Independent,(020) 8946 2125
a5d83f32-5395-48f1-ac56-df151a464ca0,Lucky Anchor Ale House,"18 Deptford High Street

Deptford

SE8 4AF",51.4755,-0.0257538,SE8,SE,Independent,
da91d25e-f5fe-4445-be3f-46fffcf26b7e,Chessington Cricket Club,"Sir Francis Barker Recreation Groud, Leatherhead Road

Chessington

KT9 2NB",51.3541,-0.312643,KT9,KT,Independent,(020) 8397 9194
2662c896-f3bc-48ed-9a68-bb56e7267a1f,Shooters Hill Golf Club,"Lowood, Eaglesfield Road

Plumstead

SE18 3DA",51.4718,0.073298,SE18,SE,Independent,(020) 8854 6368
c4e690bb-db7c-4469-86c3-28cd58b58e55,Dog House,"14 The Broadway, Plough Lane

Beddington

CR0 4QR",51.3672,-0.13196,CR0,CR,Independent,07982 619119
b25120b5-8f28-4f80-b8a5-90e1c1b2a2f2,Beer & Burger Store,"88 Walm Lane

Willesden Green

NW2 4QY",51.5487,-0.22123,NW2,NW,Independent,(020) 3019 7575
75db191e-d3d6-4acd-8891-7ec672f5c0a1,Mute Swan,"3 Palace Gate, Hampton Court Rd

EAST MOLESEY

KT8 9BN",51.4045,-0.342126,KT8,KT,Brunning & Price,(020) 8941 5959
54405ea6-f868-474e-b028-e86e752ee921,Benugo,"The Circle, St Pancras International Station,

London

N1C 4QL",51.5303,-0.125721,N1C,N,Benugo,(020) 7833 9352
078c6f4d-9141-482f-a384-eb3c431056f7,Woodman,"50 High Street

Farnborough

BR6 7BA",51.3592,0.067592,BR6,BR,Shepherd Neame,(01689) 852663
3b24f226-6172-423d-8573-7a28b4d56343,Hill Top Tap,"7-8 Elm Parade, Main Road

Sidcup

DA14 6NF",51.4263,0.100109,DA14,DA,Stonegate,(020) 8302 8757
562a3441-ccc9-419b-876a-2dfc385beab8,Ealing Cricket Club,"Corfton Road

Ealing

W5 2HS",51.5184,-0.29843,W5,W,Independent,(020) 8997 1858
b59deeb5-7b5b-4a1b-9156-909c241cc6ca,Station,"The Broadway

Stoneleigh

KT17 2JA",51.3642,-0.24683,KT17,KT,Independent,(020) 8393 2765
eedadc65-39f7-4c53-ae07-78cd0a8b9679,O'Neill's,"9 High Street

Beckenham

BR3 1AZ",51.4106,-0.024767,BR3,BR,Nicholson's,(020) 8658 7596
f56f4432-acdf-452f-9330-73480bab79a4,Cross Keys,"1 Lawrence Street

Chelsea

SW3 5NB",51.4835,-0.170487,SW3,SW,DM Group (lessee/operator),(020) 7351 0686
c2076b49-88e6-4591-913e-de0879ccb740,Mitcham Golf Club,"Carshalton Road

Mitcham

CR4 4HN",51.393,-0.156522,CR4,CR,Independent,(020) 8648 4197
5d1f2a70-56a1-4e7c-9535-863a0fe34071,BBC Club W1,"London Broadcast Centre, Portland Place

London

W1A 1AA",51.519,-0.143504,W1A,W,Independent,(020) 7765 3620
b15fa057-c335-454c-ab68-0b7e5d8ca9f4,Timberyard,"53-57 London Road

Twickenham

TW1 3SZ",51.4485,-0.329436,TW1,TW,Independent,(020) 8744 0080
b33d38bc-7afc-4b58-9ec4-8f8b47a45a55,Bexleyheath Working Mens Club,"Royal Oak Road

Bexleyheath

DA6 7HG",51.4563,0.1425,DA6,DA,Independent,(020) 8303 2163
1676b713-0c0a-499e-bdad-61e7fa48e15c,Actonians Sports Club,"Gunnersbury Drive

Ealing

W5 4LL",51.5015,-0.28874,W5,W,Old Actonians Association,(020) 8567 4556
6aac8d34-0401-49ba-887e-4b4798ae9113,Molesey Royal British Legion Club,"St Andrews Hall, 4 St Marys Road

East Molesey

KT8 0ST",51.3989,-0.353075,KT8,KT,Royal British Legion,(020) 8979 3637
94351842-0a52-4e1e-89ac-d0b6651ee2b0,Blackheath Newbridge Social Club,"22 Charlton Road

Blackheath

SE3 7HG",51.4782,0.022195,SE3,SE,Independent,(020) 8858 0525
4f2044d4-4e20-482e-806f-7d486c8ff96d,Biggin Hill Social & Sports Club,"138-140 Main Road

Biggin Hill

TN16 3BA",51.3106,0.0354871,TN16,TN,Independent,(01959) 572132
ff19fa65-958d-44f1-a5ab-7f052e8d975e,Harrow Borough Football Club,"Earlsmead Stadium, Earlsmead

South Harrow

HA2 8SS",51.5587,-0.3722,HA2,HA,Independent,(020) 8422 5221
0593b388-d7e3-493e-854d-57dd7fb1b57c,Buff,"Pinewood Drive

Orpington

BR6 9NL",51.36,0.0878104,BR6,BR,Greene King,(01689) 854411
b7a92489-4a28-41ac-ab10-14a379ff80f1,Fox,"39 Church Street

Twickenham

TW1 3NR",51.4468,-0.327138,TW1,TW,Independent,(020) 8892 1535
f254d703-c20f-4da3-89e7-3b6d2c613e1c,Swallow,"Long Lane

Hillingdon

UB10 9NR",51.5537,-0.44877,UB10,UB,Independent,(01895) 233517
465489df-e17b-45f8-aeae-32b55ee6aa2c,New Inn,"1 New Road

Brentford

TW8 0NX",51.4892,-0.302191,TW8,TW,Independent,(020) 8560 6606
c6eeb8ba-b5e5-49ae-b083-6b1097afbc23,Royal Horse Guardsman,"23 Ealing Road

Brentford

TW8 0JU",51.4864,-0.299977,TW8,TW,Independent,(020) 8568 2122
94334d0d-9aa1-43df-8ef7-20c82b09a4e8,Anglesey Arms,"90 Palace Road

Bromley

BR1 3JX",51.4087,0.0208464,BR1,BR,Shepherd Neame,(020) 3609 5800
2ca7125b-230b-4a1a-81e5-faee8bb18576,Jolly Coopers,"84 Wheelers Lane

Epsom

KT18 7SD",51.3308,-0.28147,KT18,KT,Independent,(01372) 723222
a6491f5c-18d4-4aa1-97e1-7c3270583b7d,Rose,"179 Broadway

Bexleyheath

DA6 7ES",51.4571,0.140476,DA6,DA,Independent,(020) 8303 3846
76e083a9-eabe-4cdb-9508-8ed281e8d4b4,Penny Farthing,"3 Waterside

Crayford

DA1 4JJ",51.4522,0.178505,DA1,DA,Independent,07368 448446
d0a06ced-ab32-44c2-bf6f-1df4112c4bb6,Ellary's,"5 Harefield Road

Brockley

SE4 1LW",51.4638,-0.035608,SE4,SE,Independent,(020) 8692 4756
17b8043a-4008-4318-a6cb-42575f2fb9d6,Prince Frederick,"31 Nichol Lane

Bromley

BR1 4DE",51.4159,0.019826,BR1,BR,Greene King,(020) 8466 6741
a8e7c286-e04d-42c0-a455-191a0b8a1f8e,Prince of Wales,"169-171 Lyham Road

Brixton (SW2)

SW2 5PY",51.4505,-0.12634,SW2,SW,Independent,(020) 8671 1878
7bd74a53-b9d2-49ba-affb-d3e9b4ac4f27,Broomfields,"Bromley Arena, Hayes Lane, Bromley

Bromley

BR2 9EF",51.3893,0.0204141,BR2,BR,Bromley FC,(020) 8460 5291
4012a8de-14d7-48ce-906a-6f6a3d68c6c6,Tudor Barn,"Well Hall Pleasaunce, Well Hall Road

Eltham

SE9 6SZ",51.4571,0.04926,SE9,SE,Independent,0800 433 2351
d927a3a9-592c-4967-918d-8b2ba373b151,Coach House at the George,"Chaucer House, White Hart Yard, Borough High Street

London

SE1 1NX",51.5044,-0.08978,SE1,SE,Greene King,(020) 7407 2056
3435de9d-503c-43bd-805c-87f892e7c775,Case Is Altered,"Eastcote High Road

Eastcote

HA5 2EQ",51.5889,-0.4032,HA5,HA,Independent,(020) 8866 0476
a3454ddf-adcd-4f77-bae8-91592e9fa522,George,"250 Haverstock Hill

Hampstead

NW3 2AE",51.5516,-0.1661,NW3,NW,Independent,(020) 7431 0889
47c82bd8-a5a6-49b7-a9a9-dc4aaa093cc2,Mad Bishop & Bear,"Upper Level, The Lawn, Paddington Station Concourse

Paddington

W2 1HB",51.5158,-0.176434,W2,W,Fuller's,(020) 7402 2441
c3b87c93-243e-43a2-be1a-1e3568d4004f,Oak,"206 Widmore Road

Bromley

BR1 2RH",51.4058,0.0341,BR1,BR,Fest & Revel,(020) 8466 0525
0365099b-9a9c-4408-a121-8358b4252ab9,Shortlands Tavern,"5 Station Road

Bromley

BR2 0EY",51.4053,0.00343825,BR2,BR,Independent,(020) 8466 0202
2f08a930-dfa9-41f8-a206-6cd6e1384db9,Uxbridge Sports Club,"Park Road

Uxbridge

UB8 1NR",51.5532,-0.46849,UB8,UB,Independent,(01895) 237571
9d7f6ad0-8d3a-48e3-8d29-7cccdf4cf9eb,"Bush Hill Park Bowls, Tennis & Social Club","Abbey Road

Enfield

EN1 2QP",51.6432,-0.072615,EN1,EN,Independent,(020) 8363 0997
c6034d33-73f7-4c51-a33b-9c8d5088c2fb,Union Jack Club,"Sandell Street

London

SE1 8UJ",51.5034,-0.110537,SE1,SE,The Union Jack Club (registered charity),(020) 7902 6000
8345b670-ce4e-42f4-9b14-1250debfa029,Running Horses,"23 Erith High Street

Erith

DA8 1QY",51.4821,0.179552,DA8,DA,Independent,(01322) 348097
2c7ef2dd-904a-4724-8c70-a503abdc4edf,Surbiton Club,"34 St James’s Road

Surbiton

KT6 4QL",51.3937,-0.305872,KT6,KT,Independent,(020) 8399 2350
81f46903-5f22-4171-a338-c0296913d2b1,Railway,"32 Station Way

Cheam

SM3 8SQ",51.3562,-0.216227,SM3,SM,Independent,(020) 8395 5393
95c806ee-7a50-4fa6-a618-8e5870ba07f9,Windsor Castle,"378 Carshalton Road

Carshalton

SM5 3PT",51.3627,-0.168451,SM5,SM,Shepherd Neame,(020) 8669 1191
c37624b8-85ca-4e11-a3e1-2fb6cee9785a,Fox,"Coulsdon Common

Caterham

CR3 5QS",51.2952,-0.110362,CR3,CR,Independent,(01883) 340737
d4a943b9-824f-49d4-aaed-3088549de1b9,Magpie & Crown,"128 High Street

Brentford

TW8 8EW",51.4829,-0.309203,TW8,TW,Independent,(020) 8797 6504
4b718a41-2e82-4ebb-b9f0-675c729686c7,Apollo Arms,"13-19 Old Town

Clapham

SW4 0JT",51.4653,-0.141036,SW4,SW,Independent,(020) 3827 1213
fdc92d3f-1113-404b-88c1-342cbf2ef82b,Inn on the Park,"Ewell Road

Cheam

SM3 8AA",51.3556,-0.222384,SM3,SM,Independent,(020) 8394 2000
0a892a4a-2712-4958-bbb4-51b5e01a9325,Prince of Wales,"28 Malden Road

Cheam

SM3 8QF",51.3606,-0.217671,SM3,SM,Independent,(020) 8641 8106
84ddd3ac-0c55-4d07-b4ad-2db4e2a1c093,Glasshouse,"14 Coombe Road

New Malden

KT3 4QF",51.4051,-0.2578,KT3,KT,Independent,(020) 8942 4650
791d26d2-7dfb-49a4-9b33-d46d7226b6e2,Eastcote Royal British Legion,"Southbourne Gardens

Eastcote

HA4 9SQ",51.5732,-0.401988,HA4,HA,Royal British Legion,(020) 8868 1763
e9064aee-ee91-4f99-b482-cc0014a59fd1,Bromley Common Social & Athletic Club,"33 Great Elms Road

Bromley

BR2 9NF",51.3958,0.0285553,BR2,BR,Independent,(020) 8460 5656
747030ee-c31d-485f-bfef-f47b8cf5586a,Chelsfield,"1 Windsor Drive

Chelsfield

BR6 6EY",51.357,0.106416,BR6,BR,Independent,(01689) 637605
be64cb97-8ed8-4747-a994-bfa77c4cd798,White Hart,"106 High Street

Orpington

BR6 0JY",51.3793,0.102176,BR6,BR,Independent,(01689) 830127
623f40db-93d6-473d-a119-d60e7267d44c,Kingston Rugby Football Club,"Rear of King Edward Sports Ground, Hook Road

Chessington

KT9 1PL",51.3724,-0.307286,KT9,KT,Kingston Rugby Football Club,(020) 8397 8385
8d714490-d659-44a1-bde4-ffc0556ab3ce,Lowlands Club,"Lowlands Road

Eastcote

HA5 1TU",51.5793,-0.39518,HA5,HA,Independent,(020) 8582 1801
2c6ce9ec-a730-40fb-9a45-772678f91de1,King George Field Indoor Bowls Club,"Jubilee Way

Chessington

KT9 1TR",51.3699,-0.285295,KT9,KT,Independent,(020) 8397 7025
98f124e6-0606-4577-a499-a7c9d8a1084d,Rhodrons Club,"Rhodrons Avenue

Chessington

KT9 1BA",51.3665,-0.305939,KT9,KT,Independent,(020) 8397 2683
80967878-bfb4-48d4-abef-358ec780c597,Imperial Arms,"Old Hill

Chislehurst

BR7 5LZ",51.4091,0.061819,BR7,BR,Independent,(020) 3605 7899
385237bf-1338-47f2-9e5e-3f29a4b3eba9,Gordon Arms,"47 Park Road

Chislehurst

BR7 5AY",51.4198,0.069112,BR7,BR,Craft Union,07384 037006
